| Source Name                                  | Description                                                                                                                                                                                                                                                                                                                                                                                     | Knowledge Type                            | Domain                               | Region | Structure       | Format             | Source System                                           | Owner                                                    | Frequency | Relevance | Validity / Accuracy | Readiness for Reuse              | Recommended Quality Tier | Notes                                                                                                                                                 | Gaps Identified                                                                                                                                                                                                                                                |
| West LP Backcasting Report                   | Reviews plan-vs-actual refinery performance across El Paso, Salt Lake City, Anacortes, and LA/Carson. It covers key issues like the SLC FCC outage, ELP crude rate increase, LAR cetane and coker planning, and value captured from VGO storage.                                                                                                                                                | Formal Deliverable                        | LP Backcasting (XPIMS)               | West   | Semi-Structured | PDF                | Backcast Report SharePoint                              | VCO CI Manager                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
| Blend Sheet - South                          | Provides gasoline blending results for the region and used as supporting information for some VCO CI initiatives                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short and Near Term Forecasting Teams                    | Monthly   | Low       | High                | Needs Contextualization          | Low Confidence           | Provides useful background across CI processes but consistency doesn’t exist across regions                                                           | Blend sheets are not being produced consistently / used consistently within current processes; contextualization needed                                                                                                                                        |
| Blend Sheet - West                           | Provides gasoline blending results for the region and used as supporting information for some VCO CI initiatives                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | West   | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short and Near Term Forecasting Teams                    | Monthly   | Low       | High                | Needs Contextualization          | Low Confidence           | Provides useful background across CI processes but consistency doesn’t exist across regions                                                           | Blend sheets are not being produced consistently / used consistently within current processes; contextualization needed                                                                                                                                        |
| Blend Sheet - North                          | Provides gasoline blending results for the region and used as supporting information for some VCO CI initiatives                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | North  | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short and Near Term Forecasting Teams                    | Monthly   | Low       | High                | Needs Contextualization          | Low Confidence           | Provides useful background across CI processes but consistency doesn’t exist across regions                                                           | Blend sheets are not being produced consistently / used consistently within current processes; contextualization needed                                                                                                                                        |
| Readout Report - South                       | Provides detailed submodel outputs (stream limits, etc)                                                                                                                                                                                                                                                                                                                                         | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | Planning DB Report                                                                                                                                    | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| Readout Report - West                        | Provides detailed submodel outputs (stream limits, etc)                                                                                                                                                                                                                                                                                                                                         | Recurring CI Report                       | VCO CI                               | West   | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | Planning DB Report                                                                                                                                    | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| Readout Report - North                       | Provides detailed submodel outputs (stream limits, etc)                                                                                                                                                                                                                                                                                                                                         | Recurring CI Report                       | VCO CI                               | North  | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | Planning DB Report                                                                                                                                    | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| West Econ                                    | Provides regional economic drivers and constraints at the unit level (not submodel level)                                                                                                                                                                                                                                                                                                       | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| North Econ                                   | Provides regional economic drivers and constraints at the unit level (not submodel level)                                                                                                                                                                                                                                                                                                       | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| South Econ                                   | Provides regional economic drivers and constraints at the unit level (not submodel level)                                                                                                                                                                                                                                                                                                       | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | Excel              | Regional Optimization and Forecast Review - Email Chain | Short Term Regional Forecaster                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| West Value Opportunity Leadership Review     | Tracks Value Opportunities (VOs) — cost and process improvement ideas across regions — showing estimated value identified to date, with VOs closed and open items organized by impact level                                                                                                                                                                                                     | Recurring CI Report                       | VCO CI                               | West   | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | VCO CI Manager                                           | Ad-Hoc    | Low       | High                | Needs Contextualization          | Low Confidence           |                                                                                                                                                       | Report includes screenshots from value opportunity tracker; limited background and context in the report                                                                                                                                                       |
| North Value Opportunity Leadership Review    | Tracks Value Opportunities (VOs) — cost and process improvement ideas across regions — showing estimated value identified to date, with VOs closed and open items organized by impact level                                                                                                                                                                                                     | Recurring CI Report                       | VCO CI                               | North  | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | VCO CI Manager                                           | Ad-Hoc    | Low       | High                | Needs Contextualization          | Low Confidence           |                                                                                                                                                       | Report includes screenshots from value opportunity tracker; limited background and context in the report                                                                                                                                                       |
| South Value Opportunity Leadership Review    | Tracks Value Opportunities (VOs) — cost and process improvement ideas across regions — showing estimated value identified to date, with VOs closed and open items organized by impact level                                                                                                                                                                                                     | Recurring CI Report                       | VCO CI                               | South  | Semi-Structured | PDF                | Regional Optimization and Forecast Review - Email Chain | VCO CI Manager                                           | Ad-Hoc    | Low       | High                | Needs Contextualization          | Low Confidence           |                                                                                                                                                       | Report includes screenshots from value opportunity tracker; limited background and context in the report                                                                                                                                                       |
| North Region DPO Backcast Report             | Monthly distribution backcast deck comparing planned vs. actual distribution/DPO plan for the North Region (EPE, OJO, AJA, IKE); reviews forecast-to-actual volume balances, strategy drivers, and re-optimized sensitivity cases with proposed next steps.                                                                                                                                     | Formal Deliverable                        | Distribution Backcasting (DPO)       | North  | Semi-Structured | PDF                | Backcast Report SharePoint                              | DPO Backcaster                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | DPO Backcast includes a full package with model output. Report is one part of the package                                                             | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
| West Region DPO Backcast Report              | Monthly distribution backcast deck comparing planned vs. actual distribution/DPO plan for the West Region (LAR, KEN, ANA, ELP, SLC); reviews forecast-to-actual volume balances, strategy drivers, and re-optimized sensitivity cases with proposed next steps.                                                                                                                                 | Formal Deliverable                        | Distribution Backcasting (DPO)       | West   | Semi-Structured | PDF                | Backcast Report SharePoint                              | DPO Backcaster                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | DPO Backcast includes a full package with model output. Report is one part of the package                                                             | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
| Gasoline Blending Lookback Report            | Monthly deck on the Gasoline Blending Lookback process, explaining the PIMS/MBO/BAT tools and to-be workflow used to compare planned vs. actual blending. The bulk of it is a Lookback Analysis Review comparing plan vs. actual recipes, qualities, and production volumes                                                                                                                     | Formal Deliverable                        | Gasoline Blending Lookback           | West   | Semi-Structured | PDF                | Gasoline Blending SharePoint                            | PPIMS Backcaster                                         | Monthly   | High      | High                | Needs Contextualization          | High Confidence          | Talks through decisions that were made and provides background                                                                                        | Doesn't specifically list out the decisions and decision rationale, but provides some context; contextualization needed                                                                                                                                        |
| Gasoline Blending Lookback Report            | Monthly deck on the Gasoline Blending Lookback process, explaining the PIMS/MBO/BAT tools and to-be workflow used to compare planned vs. actual blending. The bulk of it is a Lookback Analysis Review comparing plan vs. actual recipes, qualities, and production volumes                                                                                                                     | Formal Deliverable                        | Gasoline Blending Lookback           | South  | Semi-Structured | PDF                | Gasoline Blending SharePoint                            | DPO Backcaster                                           | Monthly   | High      | High                | Needs Contextualization          | High Confidence          | Talks through decisions that were made and provides background                                                                                        | Doesn't specifically list out the decisions and decision rationale, but provides some context; contextualization needed                                                                                                                                        |
| Gasoline Blending Lookback Report            | Monthly deck on the Gasoline Blending Lookback process, explaining the PIMS/MBO/BAT tools and to-be workflow used to compare planned vs. actual blending. The bulk of it is a Lookback Analysis Review comparing plan vs. actual recipes, qualities, and production volumes                                                                                                                     | Formal Deliverable                        | Gasoline Blending Lookback           | North  | Semi-Structured | PDF                | Gasoline Blending SharePoint                            | PPIMS Backcaster                                         | Monthly   | High      | High                | Needs Contextualization          | High Confidence          | Talks through decisions that were made and provides background                                                                                        | Doesn't specifically list out the decisions and decision rationale, but provides some context; contextualization needed                                                                                                                                        |
| South Region DPO Backcast Meeting Transcript | Full-text transcript captured during prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                            | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | South  | Unstructured    | Recording          | MS Teams                                                | DPO Backcaster                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Not in current process today due to sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                |
| North Region DPO Backcast Meeting Transcript | Full-text transcript captured during prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                            | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | North  | Unstructured    | Recording          | MS Teams                                                | DPO Backcaster                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Not in current process today due to sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                |
| West Region DPO Backcast Meeting Transcript  | Full-text transcript captured during prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                            | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | West   | Unstructured    | Recording          | MS Teams                                                | DPO Backcaster                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Not in current process today due to sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                |
| South DPO Backcasting Notes                  | Raw notes updated weekly during prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                 | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | South  | Unstructured    | Excel              | Backcast Report SharePoint                              | DPO Backcaster                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| North DPO Backcasting Notes                  | Raw notes updated weekly during prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                 | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | North  | Unstructured    | OneNote            | Backcast Report SharePoint                              | DPO Backcaster                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| West DPO Backcasting Notes                   | Raw notes updated weekly during  prompt month meetings as part of DPO Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                | Email Summary / Meeting Notes / Recording | Distribution Backcasting (DPO)       | West   | Unstructured    | OneNote            | Backcast Report SharePoint                              | DPO Backcaster                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| South LP Backcasting Notes                   | Raw notes updated weekly during  prompt month meetings as part of LP Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                 | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | South  | Unstructured    | Excel              | Backcast Report SharePoint                              | VCO CI Manager                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| North LP Backcasting Notes                   | Raw notes updated weekly during  prompt month meetings as part of LP Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                 | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | North  | Unstructured    | OneNote            | Backcast Report SharePoint                              | VCO CI Manager                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| West LP Backcasting Notes                    | Raw notes updated weekly during  prompt month meetings as part of LP Backcasting process; includes discussion on case results and potential value opportunities                                                                                                                                                                                                                                 | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | West   | Unstructured    | OneNote            | Backcast Report SharePoint                              | VCO CI Manager                                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| South Collaboration Meeting Notes            | Weekly collaboration meeting run by VCO Business Advisor that includes raw notes with prompt month explanations of plan vs. execution                                                                                                                                                                                                                                                           | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | South  | Unstructured    | Excel              | Backcast Report SharePoint                              | VCO Advisor                                              | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           | Forward-looking; gives context to why decisions were made in MOP; shows the evolution of the plan, and gives updates on why changes to plan were made | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| West Collaboration Meeting Transcript        | Full-text transcript captured during the weekly collaboration call run by the VCO Business Advisor; explains how plan was executed and key variance explanations                                                                                                                                                                                                                                | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | West   | Unstructured    | Recording          | MS Teams                                                | VCO Advisor                                              | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                                                    |
| North Collaboration Meeting Transcript       | Full-text transcript captured during the weekly collaboration call run by the VCO Business Advisor; explains how plan was executed and key variance explanations                                                                                                                                                                                                                                | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | North  | Unstructured    | Recording          | MS Teams                                                | VCO Advisor                                              | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                                                    |
| South Collaboration Meeting Transcript       | Full-text transcript captured during the weekly collaboration call run by the VCO Business Advisor; explains how plan was executed and key variance explanations                                                                                                                                                                                                                                | Email Summary / Meeting Notes / Recording | LP Backcasting (XPIMS)               | South  | Unstructured    | Recording          | MS Teams                                                | VCO Advisor                                              | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Sensitive discussions (market conditions, scenarios) may inhibit recordings                                                                                                                                                                                    |
| Weekly DVCO Notes                            | Provides contextualized view of decisions made throughout the month                                                                                                                                                                                                                                                                                                                             | Email Summary / Meeting Notes / Recording | VCO CI                               | All    | Unstructured    | Email              | MS Teams                                                | Near Term VCO Directors                                  | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| Weekly Crude Notes                           | Provides contextualized view of decisions made throughout the month                                                                                                                                                                                                                                                                                                                             | Email Summary / Meeting Notes / Recording | VCO CI                               | All    | Unstructured    | OneNote            | MS Teams                                                | Refinery Feedstock Coordinator                           | Weekly    | High      | Medium              | Needs Validation                 | Low Confidence           |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| South LPO Reports                            | Includes Lost Profit Opportunities (PlanningDB, other databases)                                                                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | South  | Unstructured    | Excel              | Planning DB, other databases                            | VCO CI Manager                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Digital platform to be stood up                                                                                                                                                                                                                                |
| West LPO Reports                             | Includes Lost Profit Opportunities (PlanningDB, other databases)                                                                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | West   | Unstructured    | Excel              | Planning DB, other databases                            | VCO CI Manager                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Digital platform to be stood up                                                                                                                                                                                                                                |
| North LPO Reports                            | Includes Lost Profit Opportunities (PlanningDB, other databases)                                                                                                                                                                                                                                                                                                                                | Recurring CI Report                       | VCO CI                               | North  | Unstructured    | Excel              | Planning DB, other databases                            | VCO CI Manager                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Digital platform to be stood up                                                                                                                                                                                                                                |
| PIR (Production Impact Report)               | Provides high level report on how production is impacted from key event (reduced crude consumption, increased production, etc.) to provide to risk team to adjust positions                                                                                                                                                                                                                     | Internal Tool                             | VCO CI                               | All    | Structured      | Internal Tool      | PIR                                                     | DVCO's                                                   | Ad-Hoc    | High      | High                | Needs Contextualization          | High Confidence          |                                                                                                                                                       | Quantitative data, contextualization needed                                                                                                                                                                                                                    |
| Prompt Month Distribution Review             | An in-month checkpoint on the Distribution (DPO) plan vs. actuals, held before the retrospective DPO Backcast Report                                                                                                                                                                                                                                                                            | Recurring CI Report                       | VCO CI                               | All    | Semi-Structured | Excel/Summary Note | MS Teams                                                | VCO CI Manager                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       | Completeness of capturing discussion, accuracy validation needed                                                                                                                                                                                               |
| Prompt Month Post Audit                      | An in-month audit of plan-vs-actual accuracy, feeding into the broader CI post-audit process                                                                                                                                                                                                                                                                                                    | Recurring CI Report                       | VCO CI                               | All    | Semi-Structured | Excel/Summary Note | MS Teams                                                | VCO CI Manager                                           | Monthly   | High      | Medium              | Needs Validation                 | Medium Confidence        |                                                                                                                                                       |                                                                                                                                                                                                                                                                |

